,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashen'gar Regime,Nick Zielinski,,11 Fighter/6 Rogue/1 Cleric,Updated on turn:,32,Description: ,Goblinoid Hegemonic Stratocracy - LE,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood Bows,Strat,2,,,,,0,Darkwood Bows,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Purification Substance,Strat,2,,,,,0,Purification Substance,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Magma Linite,Lux,3,,,,,0,Magma Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Elite Slaves,Lux/Strat,2,,,,,0,Elite Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Refined Residuum,Lux,3,,,,,0,Refined Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wishes/Miracles,Lux/Strat,3,,,,,0,Wishes/Miracles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glacial Linite,Lux,3,,,,,0,Glacial Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense of Transcendence,strat,3,,,,,0,Incense of Transcendence,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tainted Pillar,strat,3,,,,,0,tainted Pillar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Committed in Detail,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Developed,Available,Name,Espionage,Maintenance,Military,,,,,religious reformation,,,,,,,,,,,,,,,,,
,,,Beer,Lux,1,1,,,,1,Cocoa,,,,,-1,,,,,,,,,,,,,,,,,,,,
,,,Bloodstone,Strat,2,1,,,-1,0,Cursed Stone,,,,,-1,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,1,,,,1,Fur,,,,,-1,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,1,,-1,,0,Livestock,,,,,,-1,,,,,,,,,,,,,,,,,,,
,,,Crops,Food,1,8,,-5,,3,Lumber,,,,,,-1,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,1,,,-1,0,Stone,,,,,-1,-1,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,4,,,-1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Greenwood,Strat,1,1,1,-2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,2,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,2,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,,1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,1,-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Phlogiston
(Helium)",Strat,3,1,,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Advanced),Strat/Food,2,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,2,-1,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,3,,-3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spirits,Lux,2,1,-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,1,-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Manually enter above when done.,,,,,,,,,,,,,,,
