,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Primean Empire,steve tooze,,12 Aristocrat/8 Fighter,Updated on turn:,26,Description: ,LN - Balkanized Empire,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wine,Lux,2,1,,,,1,Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,World Tree,Food/Lux/Strat,2,,,,,0,World Tree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood Bows,Strat,2,,,,,0,Darkwood Bows,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Purification Substance,Strat,2,,1,-1,,0,Purification Substance,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Magma Linite,Lux,3,,,,,0,Magma Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Elite Slaves,Lux/Strat,2,,,,,0,Elite Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Refined Residuum,Lux,3,,,,,0,Refined Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wishes/Miracles,Lux/Strat,3,,,,,0,Wishes/Miracles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glacial Linite,Lux,3,,,,,0,Glacial Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense of Transcendence,strat,3,,,,,0,Incense of Transcendence,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tainted Pillar,strat,3,,,,,0,tainted Pillar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Committed in Detail,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Developed,Available,Name,Espionage,Maintenance,Military,,Society project,,,,purify the Empire,,,,,,,,,,,,,,,,
,,,Beer,Lux,1,2,-1,,,1,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cinnabar,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cocoa,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coffee,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,3,-1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Crops,Food,1,18,-2,-6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood,Strat,2,1,-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dyes,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fine Clothes,Lux,2,2,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fruit,Food,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fur,Lux,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Game (Hunting),Food,1,7,-2,-3,"
",2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,1,-1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,2,,-2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Herbs,Lux,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Holystone,Lux,3,2,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,Food,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense,Lux,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,5,,-4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ironwood,Strat,2,3,-2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ivory,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,2,-1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,6,1,-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,6,,-1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,2,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oricalculum,Lux/Strat,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Porcelain,Lux,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residuum,Lux,2,,1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Riding Animals (Basic),Strat/Food,1,6,0,-3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scrolls,Strat,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,5,2,-2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,1,1,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Slaves,Lux/Strat,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spices,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,3,1,-1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,3,,-1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sugar,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,4,,-4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waterwood,Lux/Strat,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whales,Lux/Food,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Whipwood,Strat,1,,,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wine,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Purification Substance,Strat,2,,1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 1,,,,,,,,Action 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Economics,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 2,,,,,,,,Action 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Army ,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 3,,,,,,,,Action 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Army ,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
