,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khazak Dhur,Pat Benjamin,,5 Aristocrat/5 fighter/6 Expert,Updated on turn:,28,Description: ,Dwarven Thanedom - LN,,,Current Turn,40,Winter,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wine,Lux,2,,,,,0,Wine,,,,,,,,,,,,,,,,,,,,,,,,,
,,,World Tree,Food/Lux/Strat,2,,,,,0,World Tree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Darkwood Bows,Strat,2,,,,,0,Darkwood Bows,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Purification Substance,Strat,2,,,,,0,Purification Substance,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Magma Linite,Lux,3,,,,,0,Magma Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Elite Slaves,Lux/Strat,2,,,,,0,Elite Slaves,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Refined Residuum,Lux,3,,,,,0,Refined Residuum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wishes/Miracles,Lux/Strat,3,,,,,0,Wishes/Miracles,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Glacial Linite,Lux,3,,,,,0,Glacial Linite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Incense of Transcendence,strat,3,,,,,0,Incense of Transcendence,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tainted Pillar,strat,3,,,,,0,tainted Pillar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Committed in Detail,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,Type,Tier,Natively Produced,Trade,Committed,Not Developed,Available,Name,Espionage,Maintenance,Military,Grow army,Build Town,,,,,,,,,,,,,,,,,,,,
,,,Adamant,Strat,3,1,,-1,,0,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Beer,Lux,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bloodstone,Strat,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bronze,Lux/Strat,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cinnabar,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Coal,Lux,2,3,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Copper,Lux/Strat,1,3,,,-1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Crops,Food,1,7,0,-3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diamonds,Lux,3,3,-2,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dire Crops,Food,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gems,Lux,2,2,-1,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gold,Lux,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gunpowder,Strat,3,3,1,-1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hardwood,Strat,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Iron,Strat,1,5,,-3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jewelry,Lux,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lead,Lux,1,2,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linite,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livestock,Food,1,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lumber,None,0,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marble,Lux,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Medicine,Lux,2,,1,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mithral,Lux/Strat,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onyx,Strat,2,1,,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Pearl,Lux ,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salt,Lux,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seafood,Food,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Silver,Lux,2,2,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Steel,Strat,2,2,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stone,None,0,4,,-1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Textiles,Lux,1,1,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tin,Strat,1,2,,-1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 1,,,,,,,,Action 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Economics,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 2,,,,,,,,Action 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Army ,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action 3,,,,,,,,Action 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,Stat 1,,Stat 2,Resource 1,Resource 2,(g) Spent,,,,,,,,,,,,,,,,,,,,,,
,Society ,,Army ,,,,,,Society ,,Army ,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
